"subject","cluster_labels","question_type","score","sentiment_score"
7,0,"willing",93,0.78659188747406
8,23,"willing",93,0.391091346740723
8,14,"willing",48,0.638033032417297
8,10,"willing",91,0.738454341888428
8,1,"willing",31,0.521633505821228
8,26,"willing",8,-0.761645391583443
8,10,"willing",100,0.738454341888428
8,11,"willing",100,-0.757172673940659
8,9,"willing",100,0.642176866531372
9,7,"willing",50,0.466552972793579
9,17,"willing",9,-0.788779139518738
9,16,"willing",19,-0.531803667545319
9,13,"willing",50,0.731200695037842
9,8,"willing",0,-0.767173245549202
9,0,"willing",50,0.374200105667114
9,9,"willing",19,-0.484326183795929
9,4,"willing",18,-0.161953628063202
10,6,"willing",9,-0.765659347176552
10,18,"willing",51,0.660681486129761
10,3,"willing",39,-0.0930331349372864
10,22,"willing",98,0.759617209434509
10,6,"willing",41,-0.771744713187218
10,1,"willing",81,0.374200105667114
10,18,"willing",30,-0.757560282945633
10,12,"willing",31,0.731200695037842
11,3,"willing",75,-0.721023887395859
11,13,"willing",100,-0.253814160823822
11,0,"willing",50,0.374200105667114
11,7,"willing",90,0.742148160934448
11,24,"willing",80,0.731200695037842
11,24,"willing",100,0.707043170928955
11,24,"willing",90,-0.680414855480194
11,25,"willing",100,-0.4788738489151
12,17,"willing",0,-0.771744713187218
12,23,"willing",54,0.695410847663879
12,3,"willing",35,-0.535250902175903
12,20,"willing",70,0.742148160934448
12,14,"willing",62,0.731200695037842
12,17,"willing",5,-0.424350440502167
12,23,"willing",47,-0.757560282945633
12,12,"willing",52,-0.58281946182251
13,23,"willing",48,0.660681486129761
13,23,"willing",50,-0.424350440502167
13,20,"willing",61,0.245904684066772
13,23,"willing",62,0.731200695037842
13,20,"willing",70,0.21867835521698
13,3,"willing",61,0.758896827697754
13,20,"willing",81,0.700512170791626
13,12,"willing",66,0.37063467502594
14,21,"willing",0,-0.835734352469444
14,17,"willing",0,-0.779227450489998
14,14,"willing",55,0.457461595535278
14,23,"willing",72,0.731200695037842
14,1,"willing",61,-0.666727006435394
14,12,"willing",2,-0.515980362892151
14,19,"willing",30,-0.764777109026909
14,1,"willing",8,-0.764777109026909
15,12,"willing",27,0.391091346740723
15,4,"willing",5,-0.74870041012764
15,11,"willing",51,-0.180331110954285
15,7,"willing",65,0.635981798171997
15,9,"willing",23,-0.36501157283783
15,12,"willing",31,-0.186173796653748
15,23,"willing",39,-0.757560282945633
15,23,"willing",67,0.78659188747406
16,3,"willing",67,0.335939645767212
16,20,"willing",91,0.695410847663879
16,14,"willing",100,0.374200105667114
16,16,"willing",81,0.731200695037842
16,16,"willing",73,-0.470828771591187
16,14,"willing",100,0.695410847663879
16,20,"willing",82,0.674097537994385
16,16,"willing",71,0.78659188747406
17,1,"willing",0,0.557807087898254
17,12,"willing",0,-0.167389512062073
17,6,"willing",0,0.678370833396912
17,1,"willing",0,0.521633505821228
17,17,"willing",0,-0.779227450489998
17,17,"willing",0,-0.190789461135864
17,12,"willing",0,-0.156125068664551
17,3,"willing",70,0.708225727081299
18,15,"willing",0,-0.0745089650154114
18,12,"willing",0,0.48602294921875
18,3,"willing",25,0.457461595535278
18,17,"willing",0,-0.771744713187218
18,12,"willing",0,0.731200695037842
18,10,"willing",60,0.75802755355835
18,12,"willing",5,-0.591646939516068
18,8,"willing",0,-0.826947867870331
19,3,"willing",40,0.695410847663879
