"","10","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Integral",0.962802536260817,0.901704107087786,0.906345273767147,0.913396132840052,0.91445488390236,0.921736986361825,0.951413390538471,0.945193708558357,0.944286431469495,0.952765853774275,0.99356301422024,0.898911881400695,0.881496701427299,0.95715103116552,0.931627367754175,0.913893581008262,0.956506127474232,0.946012018539573,0.929795968461831,0.896172991874183
"1st Derivative",0.984160905365342,0.922223743723218,0.960150037752109,0.934085173212274,0.894662851062041,1.00164256320946,0.959636530187585,0.973441996470031,0.990388505963278,0.96734989818732,1.01858536725696,0.908389011630318,0.93108722681789,0.995487977229949,0.960643765913418,0.942775584593472,0.970723247256643,0.966500111183094,0.959455026885087,0.930848949662265
"1st Derivative
Early",0.993212729198437,0.926040732831345,0.962468229459583,0.93656996897553,0.902486071621366,1.00767778419551,0.968354370909367,0.974426796139562,0.995955581538968,0.972785471810268,1.02146319475588,0.911156979887606,0.933325181479736,1.00288417387577,0.964067568919631,0.943948910894008,0.980198272792761,0.965820373325378,0.97075805976976,0.942803867325926
"1st Derivative
Ascending",1.00623475863598,0.937678078916363,0.978111568799927,0.954157017521387,0.903245322928054,1.00710633463222,0.971126179714002,0.989229266031215,0.99574049917161,0.986874306507494,1.02953982216309,0.935483780102926,0.938959622351139,1.00614805313997,0.978291454177867,0.961904940187884,0.980752372485222,0.984474240981106,0.965856088159615,0.946152744614339
"1st Derivative
Descending",0.98580048523734,0.930154191671842,0.964963992285026,0.939893332871532,0.917218513144691,1.01294430287496,0.963465902237376,0.978018415774841,0.993863234192721,0.971582715742232,1.01913538192878,0.909653519620135,0.944112266200062,1.00131188325698,0.959901226949016,0.942008018673176,0.984064526681992,0.972216386891253,0.973673374074763,0.947095840364172
"1st Derivative
End",1.0085667814888,0.939879757734521,0.977068105534722,0.956621636172589,0.906850372494915,1.01231591584615,0.976361388374007,0.98947336665734,0.99785704279517,0.98918459848532,1.03154195122533,0.934217073720889,0.941148076986329,1.00853056275472,0.982383758044511,0.965096919359724,0.984572235395679,0.985729093091014,0.970321200354488,0.948833866750269
"2nd Derivative",1.0296630901314,0.970885882104831,1.00157127887314,0.983614811518419,0.945806499926051,1.03196630727031,0.994220616026788,1.01904211117373,1.00854173948301,1.01562639101452,1.04361923663411,0.968356044059509,0.969273146478781,1.03262970487456,0.998502038334875,0.979436075790099,1.01119160030467,1.01294799875686,0.992782588784683,0.986845091233527
"2nd Derivative
Early",1.02932931394685,0.969468936767135,1.00108856215863,0.983296299002373,0.945344487272052,1.03178232781947,0.994846618766056,1.0178955466556,1.00725257556066,1.01528644967909,1.04382182846361,0.967204809027322,0.969488273469117,1.03170335882224,0.998710762219678,0.980133148101883,1.01049057107169,1.01228876591483,0.991973546644807,0.985702992820295
"2nd Derivative
Ascending",1.0259254169756,0.970149225705556,0.999914208939069,0.979332067743724,0.946478918649754,1.02464083146612,0.990067293005985,1.01707565912781,1.00119836259052,1.01743739016406,1.04287972172386,0.962823777846846,0.968736679223276,1.02587677764663,0.995415804894513,0.981087796961813,1.01059830258885,1.00673246096038,0.986236024648169,0.98693773938515
"2nd Derivative
Descending",1.03127310073,0.967120975009747,1.00561792490534,0.981214963434661,0.943196950295064,1.03080688977722,0.9947701920267,1.01816197621734,1.01115308612158,1.01650785810187,1.04170663139019,0.971875697001,0.969797128179368,1.03201745781318,0.998914675280807,0.979382615970543,1.01043245711506,1.00948848187851,0.994005012867488,0.98832736423439
"2nd Derivative
End",1.0301737264635,0.969971776956401,1.00155941827599,0.982317616810436,0.944661209490755,1.03142216620369,0.994437682297856,1.02000149913059,1.00682272714284,1.0156169483905,1.0447194096507,0.967557224661756,0.968821477911632,1.03192311088943,0.999147621835241,0.979418489351036,1.01047311218057,1.013189458116,0.991311870214556,0.985913853472034
