"","10","20","30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Integral",0.901843049688088,0.930106979378179,0.931887615911482,0.965009686879512,0.950630709386649,0.913381347115354,0.959914130417134,0.888210647073138,0.962989788247043,0.93985696573133,0.934035878019971,0.944362178533068,0.927687685757551,0.927444253166411,0.896110656309103,0.974648454178822,0.951978269332771,0.9209802580848,0.96158524692343,0.903766368658204,0.929984477469799,0.955896391208748,0.910499772247589,0.894576762787579,0.914403216079313,0.903294149055372,0.961674488761005,0.919082625905201,1.01527590653927,0.942051392674027
"1st Derivative",0.901264113062715,0.890390699489311,0.822382519920126,0.886393181736507,0.941935037012475,0.88210046532351,0.906658455192724,0.849275128102408,0.909427974600309,0.843813732081463,0.865755472596191,0.873857259927227,0.848875001796711,0.880075469066578,0.89397515092127,0.902115139083422,0.889243610210047,0.877084616482043,0.918557514726873,0.889403249698121,0.867934836900201,0.868190662668755,0.895775166763087,0.906040935576682,0.818972857885206,0.895206256098046,0.918477179929655,0.934307421917655,0.858096358039964,0.875107629309652
"1st Derivative
Early",0.929386052394743,0.920110559906199,0.852793531133712,0.91920688077781,0.974042974646072,0.904567108020191,0.932337586052807,0.874602914701375,0.940258503837483,0.871930080406619,0.886717804236213,0.907644887391754,0.884261518766598,0.914615762870739,0.926907770364727,0.928844935837158,0.913513117100122,0.896609660593726,0.953509109265641,0.911271145102169,0.892733809361712,0.903143957058787,0.909550160743951,0.931674640686879,0.840834152836633,0.928670496483841,0.948593177771073,0.963037835969619,0.900854280384088,0.904240275428203
"1st Derivative
Ascending",0.899509662660325,0.894485316515449,0.848469984123065,0.886870151403804,0.920504669948211,0.87407986004693,0.906167715255478,0.859528816024874,0.914581329633711,0.849875845810679,0.860428381950258,0.862361986510421,0.853507936054042,0.872046049986138,0.892878356273446,0.920523147571609,0.912372475452774,0.872832516894745,0.918461777066347,0.890795289702822,0.886277240687574,0.873700035512272,0.901298655253819,0.90552064771371,0.824843392029006,0.88835287986086,0.914889222613139,0.923936523347442,0.856875148153947,0.882029923643535
"1st Derivative
Descending",0.954661414855439,0.949499503566447,0.889412444522213,0.947005766233538,1.01348842697808,0.93736189434979,0.967363653325385,0.903437844323802,0.958086027067058,0.906056994172935,0.914338836491098,0.94195120859216,0.920460813129248,0.956687184553394,0.945228007103918,0.962299799879364,0.943048240063391,0.939309562976531,0.97178844485939,0.934508916929187,0.919298530847795,0.935766983784732,0.936595907171189,0.95617689762108,0.878916095851635,0.954823059235809,0.990444945936004,0.982285027804655,0.945643675021224,0.929181520034313
"1st Derivative
End",0.912965062540248,0.901641615288796,0.856004430067823,0.899872173463581,0.934682141656192,0.881329217597051,0.919928664674761,0.867517167653508,0.928790324944184,0.860189052495351,0.872455634712834,0.879200649541509,0.865522033206867,0.8852566078339,0.908976658654832,0.926189111169191,0.914211394427213,0.885218256898653,0.929816886877973,0.898866388432998,0.900370875505966,0.89080623302301,0.906875316580172,0.913552094575671,0.836900504321334,0.899059700175509,0.921349750980202,0.938629200262046,0.865992614385354,0.894190665598315
"2nd Derivative",1.00234024785814,1.01594427429443,0.98184328445889,1.0004719681347,1.04100703748799,0.978532564785159,1.01782951820685,0.974882237421309,1.00493768124534,0.983393084886208,0.953573504878277,0.991711505601122,0.980609416866738,1.01653210756923,0.997480484757438,1.04311065666026,1.02024129934275,0.990067500649185,1.02747530622697,0.980608967075435,0.997827891165272,1.01028975286938,0.982414905565366,1.00062667005228,0.945805199380258,1.00788420908909,1.04671518287953,1.01148537447833,1.01959737803491,0.979281237536975
"2nd Derivative
Early",0.997590126153407,1.01010583280695,0.9826522482439,1.00167538300768,1.0404558117303,0.976278303577119,1.0194469463636,0.970976235168813,1.00627278311666,0.983101664769854,0.95645319373052,0.989421579778289,0.981696941625749,1.01457367405543,0.993641372044197,1.04041481887326,1.01830050911431,0.992540033014485,1.02083777307827,0.980522606587948,0.996692391888824,1.0102062890849,0.981666658305835,0.996145917571475,0.949477724665997,1.00382597163615,1.04459010738906,1.00858367217746,1.0181328885897,0.9805341011261
"2nd Derivative
Ascending",0.994012509639413,1.00591290450359,0.988840114530467,1.00302518749522,1.04011063503303,0.975874517120814,1.01597724637944,0.968651239369864,1.00353138456381,0.976644531679481,0.957577686077038,0.987546491428902,0.98098172214282,1.01457590804133,0.99020586872074,1.03582728617743,1.01899616444177,0.990116958927893,1.01741484624473,0.977766653855844,0.993841651540523,1.01054310654429,0.984061064648348,0.995056271857898,0.945559307430654,1.00005636435642,1.04497604889217,1.00204724038124,1.01905989162689,0.977204143598905
"2nd Derivative
Descending",1.00220665472903,1.01580958612898,0.981414700554422,0.99751302249885,1.03985460304425,0.978300052983916,1.01293364730116,0.973321798160183,1.00141246787394,0.977431815845115,0.94742718911409,0.992033741858892,0.977462224949399,1.01529489427368,0.997553577510981,1.04107924600723,1.02032726129645,0.982986400156085,1.02735761104646,0.977452280434244,0.995930772953752,1.0082725224796,0.982236184608663,1.00151096234013,0.938971839910213,1.00633291879116,1.04479813481371,1.00895209150681,1.01702573645056,0.97681552035072
