"","max","min","end_value","start_value","number_peaks","number_valleys","number_extrema","integral","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end"
"sin_fr_partial",-0.0515175528760214,-0.220253897722234,-0.0515175524643117,-0.135885695275985,-0.220253897722234,-0.218566533673309,-0.218566533673309,5.09485835910154,-0.13588575491056,-0.145040287671394,-0.109532643649766,-0.22551497328011,-0.0837344053175645,-0.219199295937088,-0.219313727596598,-0.218869882046328,-0.220319661166707,-0.218547404067175,-0.215279546899771,-0.211883577863769,-0.220555970079617,-0.213733886836772,-0.219865576391496,-0.220191718336953,-0.220149268724003,-0.220257673626701,-0.220172397586165,-0.2202490437056
"sin_rf_full",-0.0607094665110629,-0.193814166886625,-0.193769072061052,-0.193814166886659,-0.192483119882903,-0.193814166886659,-0.192483119882903,5.09936687447151,-0.193769072061052,-0.136198033105495,-0.260012396749613,-0.127559568491695,-0.258438982653128,-0.193813603201339,-0.193093965214394,-0.194641644759946,-0.192985984406722,-0.19462197708374,-0.193620652364011,-0.195154160092098,-0.193596904280328,-0.19378953633968,-0.188171506176863,-0.193811747955126,-0.193830916801727,-0.19381145110408,-0.193813859004822,-0.193743633627786
"sin_rf_partial",-0.0758431473322173,-0.184795125683511,-0.18479512594935,-0.130319155893615,-0.183705644283785,-0.184795164455013,-0.183705644283785,5.09943222536007,-0.239271134510747,-0.233360111274564,-0.256287169853887,-0.181398121625807,-0.272944927296916,-0.18547611408071,-0.185402226290257,-0.185688814522499,-0.184752701419648,-0.185897036490537,-0.188007070956927,-0.190199826437255,-0.184600118266404,-0.189005093771015,-0.185045901053927,-0.184835313286287,-0.184862722729791,-0.184792726377655,-0.184847788571463,-0.1847982986625
"sin_rfr_full",-0.0919070953004624,-0.224027649757023,-0.0920077942429255,-0.224027649757023,-0.222706444212458,-0.222706444212458,-0.221385238667892,5.09156355324744,-0.0920077942429255,-0.066726174610093,-0.141750698697105,-0.141279781424319,0.01868931461264,-0.222377401563097,-0.222061381317686,-0.222999187868774,-0.222993301402864,-0.220993687702402,-0.224459716094707,-0.234227785864001,-0.225307967475343,-0.223287414960809,-0.230651557289361,-0.224033050586244,-0.22415515145836,-0.224043653728502,-0.22401839682207,-0.224110448601177
"sin_rfr_partial",-0.0916087083570994,-0.209282846438805,-0.0916088282023263,-0.15044577739796,-0.208106105058003,-0.208106105058003,-0.206929363677186,5.09804748030682,-0.150445897243187,-0.196712347648835,-0.148012717403535,-0.197006788979563,-0.06917528858917,-0.208547384573875,-0.209125715203945,-0.208516969825879,-0.209129395720579,-0.2075315019657,-0.2150723083263,-0.21961017498037,-0.210500501710014,-0.215302018526976,-0.22042530230473,-0.209355214712414,-0.20941193804559,-0.20929806712971,-0.209358086089922,-0.209422127137144
"sin_frf_full",-0.0406514818203355,-0.172969074453903,-0.172868225333929,-0.0406514818203355,-0.171645898527567,-0.171645898527567,-0.170322722601232,5.0889197187179,-0.305185817967496,-0.330505141379765,-0.255368729361933,-0.255840348937864,-0.416048015113968,-0.174621783747823,-0.174938275290476,-0.173999070140253,-0.174004965384953,-0.176007561212154,-0.172536363753471,-0.162753726359419,-0.171686847331931,-0.173710413200335,-0.166335288347636,-0.172963665570148,-0.172841382602722,-0.172953046614878,-0.172978341188233,-0.172886152127575
"sin_frf_partial",-0.0339507933352082,-0.185272079009384,-0.18527192489622,-0.109611436172287,-0.183758866152642,-0.183758866152642,-0.1822456532959,5.09554927052071,-0.260932567733317,-0.201436922614574,-0.264061478704026,-0.201058290219658,-0.365441282983134,-0.186217835118433,-0.185474139554449,-0.186256946505567,-0.185469406649513,-0.187524194059056,-0.177827207685434,-0.171991806402655,-0.183706253551482,-0.177531815312348,-0.170943605695846,-0.185179018117835,-0.1851060756018,-0.18525250619116,-0.185175325713171,-0.185092973092965
"sin_frfr",-0.0782464855726085,-0.224401719420301,-0.0782472012544498,-0.151324102496407,-0.224401719420301,-0.224401719420301,-0.224401719420301,5.09268619840607,-0.151324818178343,-0.0453109621899865,-0.140386471382382,-0.217070840905772,-0.010826199888144,-0.223488258154776,-0.222163084954922,-0.223351528819827,-0.224310083438869,-0.221732025426149,-0.214398017269317,-0.216726615888804,-0.22344484034411,-0.212853970807762,-0.218318549195686,-0.224276673143413,-0.224305780626157,-0.224389758431848,-0.224257372562644,-0.224325679792493
"sin_rfrf",-0.0561596867164114,-0.177028239786752,-0.177027647926807,-0.116593963251621,-0.17702823978683,-0.17702823978683,-0.17702823978683,5.09529070251456,-0.237461924462016,-0.325134059365329,-0.246507800654087,-0.183090784763556,-0.353652527111355,-0.17778366084527,-0.178879562531561,-0.177896734297671,-0.177104021599039,-0.179236043378387,-0.185301176530212,-0.183375454553588,-0.177819566832449,-0.186578083670438,-0.182058945590332,-0.177131651496122,-0.177107579971414,-0.1770381313749,-0.177147612835375,-0.177091123609374
"logistic_rise",-0.0871496822906182,-0.220034411240926,-0.0871496822906181,-0.220034411240926,-0.218705563951423,-0.21737671666192,-0.216047869372417,5.09535474677139,-0.0871496822906181,-0.0871436496442084,-0.136981455646984,-0.136981455646984,-0.0871496820167223,-0.218373352129047,-0.218373276720967,-0.218996249296002,-0.218996249296002,-0.218373352125623,-0.220034411240926,-0.220028378868387,-0.228339706937268,-0.211729115544584,-0.220034411514822,-0.220034411240926,-0.220034335836269,-0.22013822743713,-0.219930595044722,-0.22003441124435
"logistic_fall",-0.0459179375913908,-0.177693159308981,-0.177693159308981,-0.0459179375913908,-0.175057654874629,-0.176375407091805,-0.173739902657453,5.09331570939462,-0.309468381026571,-0.309474363304026,-0.260052672882475,-0.260052672882475,-0.30946838129818,-0.179340349580451,-0.179340424358919,-0.178722653228649,-0.178722653228649,-0.179340349583846,-0.177693159308981,-0.177699141314852,-0.169457207815827,-0.185929110802135,-0.177693159037372,-0.177693159308981,-0.177693234084054,-0.177590209915316,-0.177796108702645,-0.177693159305586
"positive_change_full",-0.0749583127492233,-0.207543627724377,-0.0749581590069772,-0.0749581590069772,-0.207543665522426,-0.206217810457272,-0.206217810457272,5.09587659509554,-0.207543665522426,-0.234060766825516,-0.141250912264702,-0.273836418780151,-0.0749581590069772,-0.207543665522426,-0.207875129288715,-0.206715006106705,-0.208372324938148,-0.205886346690983,-0.207543665522426,-0.207543665522426,-0.207543665522426,-0.207543665522426,-0.207543665522426,-0.207543665522426,-0.207543665522426,-0.207543665522426,-0.207543665522426,-0.207543665522426
"positive_change_partial",-0.041396586461533,-0.192474445042761,-0.116935467867653,-0.0413964112758052,-0.192474524459501,-0.190963743327664,-0.190963743327664,5.09525943696984,-0.268013581051348,-0.298229203688087,-0.192474524459501,-0.28689834519931,-0.192474524459501,-0.193418762666899,-0.193796457949858,-0.192474524459501,-0.193654822218748,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501,-0.192474524459501
"negative_change_full",-0.0576507272198828,-0.189854986253774,-0.189855139554243,-0.189855139554243,-0.188533094325504,-0.189855139554243,-0.188533094325504,5.09832577540007,-0.189855139554243,-0.163414234979471,-0.255957400991172,-0.123752878117314,-0.3220596624281,-0.189855139554243,-0.189524628247058,-0.190681417822204,-0.189028861286281,-0.191507696090166,-0.189855139554243,-0.189855139554243,-0.189855139554243,-0.189855139554243,-0.189855139554243,-0.189855139554243,-0.189855139554243,-0.189855139554243,-0.189855139554243,-0.189855139554243
"negative_change_partial",-0.0857313169882352,-0.2035874206274,-0.144659406162596,-0.203587557290095,-0.202408994267545,-0.203587557290095,-0.202408994267545,5.09994604418485,-0.144659406162596,-0.121088145711596,-0.203587557290095,-0.129927368380721,-0.203587557290095,-0.202850955401001,-0.202556314645364,-0.203587557290095,-0.202666804928728,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095,-0.203587557290095
"linear_rise_sharp_fall",0.0223395331626675,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.238165214476279,-0.243481640813328,-0.238165214476279,5.07294469623522,0.0223396760391,0.102086071094829,-0.143798646993667,-0.0108879885674534,0.0223396760391,-0.240158874352672,-0.239162044414476,-0.242235603390582,-0.240574220160254,-0.240158874352672,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.243481640813328,-0.243481640813328
"linear_rise_sharp_fall_exp_rise",-0.037617871369866,-0.269037431775261,-0.0376171312531391,-0.270241554981122,-0.267931377184449,-0.270241554981122,-0.267931377184449,5.04925889087039,0.0766877143397434,0.111340381289839,-0.00913871183740635,-0.0976828114737561,0.25357461370249,-0.265904939114611,-0.265471780777735,-0.266977769441826,-0.26808457068728,-0.263693852872577,-0.256625986542544,-0.256625986542544,-0.257428102946979,-0.266035546467043,-0.246218883721704,-0.27007136037564,-0.27007136037564,-0.270081386830695,-0.270188979874696,-0.269941271590379
